topic,pid,wave,finanzielle Unterstützung und Armutsbekämpfung,Entlastung von Familien und Eltern,Gerechtigkeit und Verteilung,"Finanzierung, Kosten und Steuern",Unterstützung von Kindern und Bildungschancen,Bürokratie und Zugang zur Leistung,grundsätzliche Zustimmung oder Ablehnung,Kritik an der politischen Umsetzung,"Kriminalität, Polizei und Strafrecht",Gesundheitliche Chancen und Risiken,"Regulierung, Kontrolle und Abgaberegeln","Wirtschaft, Steuern und Arbeitsplätze",Jugendschutz und Prävention,Freiheit und Eigenverantwortung,gesellschaftliche Akzeptanz und Normalisierung
Child support,273726366948,post,0.8702669143676758,0.8264318108558655,0.8033281564712524,0.7702056169509888,0.7498207092285156,0.6630147099494934,0.6027340292930603,0.004727549850940704,,,,,,,
Child support,273908992896,post,0.16411416232585907,0.820685088634491,0.005119676236063242,0.9359931349754333,0.02849004417657852,0.6825208067893982,0.9919846653938293,0.9996243715286255,,,,,,,
Child support,273971922264,pre,0.9161471128463745,0.8308687210083008,0.6911847591400146,0.01314658671617508,0.9478175044059753,0.034749627113342285,0.2541385591030121,0.003728957613930106,,,,,,,
Child support,273971922264,post,0.33415475487709045,0.681938648223877,0.32831403613090515,0.7362109422683716,0.5660185813903809,0.6531268954277039,0.47049328684806824,0.11417084187269211,,,,,,,
Child support,273984233580,pre,0.05751974508166313,0.24274376034736633,0.01021398976445198,0.19406217336654663,0.22815650701522827,0.11879339814186096,0.07667948305606842,0.5258558392524719,,,,,,,
Child support,273984233580,post,0.2869678735733032,0.5102524757385254,0.10397586226463318,0.4843800961971283,0.4196479618549347,0.4663594961166382,0.4940188229084015,0.34510526061058044,,,,,,,
Child support,274024999980,pre,0.7668178677558899,0.7893961071968079,0.8871068358421326,0.77797532081604,0.9883633852005005,0.994128942489624,0.9969956278800964,0.16357901692390442,,,,,,,
Child support,274024999980,post,0.6779006719589233,0.5770187377929688,0.3734187185764313,0.8169911503791809,0.6684474945068359,0.8478418588638306,0.9485551118850708,0.6208515167236328,,,,,,,
Child support,274131498096,post,0.9962051510810852,0.5805898904800415,0.4170340597629547,0.26497605443000793,0.88957679271698,0.08822931349277496,0.9803374409675598,0.3123700022697449,,,,,,,
Child support,274350928032,pre,0.22337706387043,0.43638184666633606,0.06371498852968216,0.6338636875152588,0.5779718160629272,0.3015677034854889,0.4498155415058136,0.5248817801475525,,,,,,,
Child support,274350928032,post,0.30985841155052185,0.5341265797615051,0.29828691482543945,0.5073237419128418,0.47804149985313416,0.25963786244392395,0.671901285648346,0.022572573274374008,,,,,,,
Child support,274397163696,pre,0.003621685551479459,0.005501238629221916,0.0013354007387533784,0.9664620161056519,0.005528016947209835,0.9857866168022156,0.7418844699859619,0.7806625366210938,,,,,,,
Child support,274502024316,pre,0.999839723110199,0.20165596902370453,0.9981469511985779,0.7991289496421814,0.9527722597122192,0.9119276404380798,0.9411694407463074,0.29421496391296387,,,,,,,
Child support,274502024316,post,0.016721144318580627,0.03231377899646759,0.0014607495395466685,0.820900559425354,0.016561338678002357,0.6086231470108032,0.501220703125,0.9649398922920227,,,,,,,
Child support,274518574380,pre,0.9847304224967957,0.6233768463134766,0.696784257888794,0.3214600086212158,0.9998161792755127,0.30902373790740967,0.7319217324256897,0.07379632443189621,,,,,,,
Child support,274518574380,post,0.6354575157165527,0.029986508190631866,0.03927796334028244,0.15720152854919434,0.15843459963798523,0.14798562228679657,0.4409506916999817,0.7427950501441956,,,,,,,
Child support,274526852832,pre,0.30611202120780945,0.3086068034172058,0.14694206416606903,0.5195212960243225,0.39094078540802,0.45132648944854736,0.10795362293720245,0.14463143050670624,,,,,,,
Child support,274526852832,post,0.6220002770423889,0.4843800961971283,0.39513418078422546,0.7498207092285156,0.6302298307418823,0.5851011872291565,0.24059610068798065,0.39326852560043335,,,,,,,
Child support,274533484212,pre,0.8578872084617615,0.9883858561515808,0.9349616169929504,0.8161134719848633,0.9083743691444397,0.7136312127113342,0.8572012186050415,0.20721471309661865,,,,,,,
Child support,274533484212,post,0.6736212372779846,0.7739006280899048,0.9998701810836792,0.7074046730995178,0.7341195344924927,0.7094218730926514,0.7461389899253845,0.26530903577804565,,,,,,,
Child support,274653049464,pre,0.29462069272994995,0.42919012904167175,0.041593458503484726,0.7041601538658142,0.6270381212234497,0.7229184508323669,0.9575167894363403,0.8724560737609863,,,,,,,
Child support,274653049464,post,0.0007509957649745047,0.02905629761517048,0.0005549408961087465,0.8172100186347961,0.3119506537914276,0.6478121280670166,0.9278877973556519,0.9700543284416199,,,,,,,
Child support,274671650160,pre,0.9998779892921448,0.38110440969467163,0.4946291148662567,0.0009362828568555415,0.9731196761131287,0.001142449676990509,0.25594761967658997,0.0011008767178282142,,,,,,,
Child support,274671650160,post,0.999893844127655,0.967625081539154,0.9492476582527161,0.9588085412979126,0.9997826218605042,0.9667260646820068,0.03474962338805199,0.002140589291229844,,,,,,,
Child support,274758455232,post,0.42536652088165283,0.9993188381195068,0.9666789174079895,0.9989371299743652,0.23458193242549896,0.7207615375518799,0.9589817523956299,0.06960496306419373,,,,,,,
Child support,274788345348,post,0.011201214045286179,0.002822832902893424,0.0009290034067817032,0.003324436955153942,0.28616926074028015,0.0004442183708306402,0.22475656867027283,0.19406215846538544,,,,,,,
Child support,274880751012,pre,0.22490547597408295,0.6642681360244751,0.1598721444606781,0.1919327825307846,0.24871662259101868,0.0762699618935585,0.11104825884103775,0.02155732363462448,,,,,,,
Child support,274880751012,post,0.04573463276028633,0.5824316143989563,0.04095105826854706,0.08130066096782684,0.05813159421086311,0.023414360359311104,0.06938393414020538,0.06100314483046532,,,,,,,
Child support,274948399980,pre,0.9765940308570862,0.3129996359348297,0.4775541424751282,0.19042274355888367,0.8413047790527344,0.1790994256734848,0.21174263954162598,0.08075528591871262,,,,,,,
Child support,274948399980,post,0.9945836067199707,0.022564493119716644,0.33589524030685425,0.001911769388243556,0.9998517632484436,0.03155902028083801,0.590277373790741,0.0023186400067061186,,,,,,,
Child support,275780146716,post,0.05773187428712845,0.12447883188724518,0.0013354008551687002,0.8191711902618408,0.6878397464752197,0.8409785628318787,0.9864808917045593,0.865792453289032,,,,,,,
Child support,275794438896,pre,0.996364176273346,0.9950370788574219,0.24124349653720856,0.9903103113174438,0.9987182021141052,0.7546438574790955,0.9683513045310974,0.832236647605896,,,,,,,
Child support,275794438896,post,0.999191164970398,0.9992237091064453,0.7962924838066101,0.9998540282249451,0.9996505975723267,0.9995899796485901,0.79234379529953,0.8737543821334839,,,,,,,
Child support,275865368328,post,0.635448694229126,0.9420552849769592,0.08532741665840149,0.9910058975219727,0.3214600086212158,0.9444977045059204,0.7559974193572998,0.7709824442863464,,,,,,,
Child support,275910784560,pre,0.7534666657447815,0.8768454790115356,0.8472108244895935,0.9458012580871582,0.9997555613517761,0.9832949042320251,0.9317114353179932,0.00418249424546957,,,,,,,
Child support,275910784560,post,0.8342719078063965,0.7955787181854248,0.5509697794914246,0.7337142825126648,0.9949396252632141,0.9973989129066467,0.06539562344551086,0.05167770758271217,,,,,,,
Child support,276109219116,pre,0.6517982482910156,0.06702574342489243,0.4510846734046936,0.7311545610427856,0.8297680616378784,0.18326450884342194,0.957576334476471,0.17827533185482025,,,,,,,
Child support,276109219116,post,0.999819815158844,0.996616780757904,0.9951936602592468,0.8967045545578003,0.966044008731842,0.773729681968689,0.6247515082359314,0.23353151977062225,,,,,,,
Child support,276126931980,pre,0.7928254008293152,0.9569169282913208,0.4042722284793854,0.7575590014457703,0.8452811241149902,0.7608283758163452,0.9912039041519165,0.2146914303302765,,,,,,,
Child support,276126931980,post,0.8402425646781921,0.2603894770145416,0.0018932257080450654,0.9318821430206299,0.4156101942062378,0.9894294738769531,0.9597243070602417,0.9998960494995117,,,,,,,
Child support,276150871980,pre,0.9998734593391418,0.7689067721366882,0.3000272810459137,0.1775968223810196,0.999636709690094,0.17596246302127838,0.8520143628120422,0.0017207354540005326,,,,,,,
Child support,276150871980,post,0.5122045874595642,0.5563995242118835,0.07960743457078934,0.5895982384681702,0.3830641806125641,0.7464163899421692,0.8803862929344177,0.28746768832206726,,,,,,,
Child support,276190955064,pre,0.8711463212966919,0.5906611680984497,0.667147696018219,0.5822535753250122,0.5515736937522888,0.633863627910614,0.9953181743621826,0.2999247610569,,,,,,,
Child support,276190955064,post,0.0061450921930372715,0.07981787621974945,0.11074735224246979,0.6821504235267639,0.2727988064289093,0.8601343631744385,0.728144645690918,0.6261241436004639,,,,,,,
Child support,276272487864,pre,0.07885492593050003,0.6588566303253174,0.15431226789951324,0.2309197634458542,0.4073334038257599,0.44601207971572876,0.15810935199260712,0.42727723717689514,,,,,,,
Child support,276272487864,post,0.010179492644965649,0.9219394326210022,0.19352814555168152,0.08609268814325333,0.3942009508609772,0.20410384237766266,0.016593176871538162,0.17525559663772583,,,,,,,
Child support,276321326148,pre,0.08616955578327179,0.14258970320224762,0.022518770769238472,0.4882833659648895,0.33415472507476807,0.31869712471961975,0.16851887106895447,0.5959630012512207,,,,,,,
Child support,276321326148,post,0.8119743466377258,0.017028965055942535,0.00407013762742281,0.954562783241272,0.3858373463153839,0.9973477125167847,0.7856377363204956,0.8833366632461548,,,,,,,
Child support,276479328780,pre,0.9997766017913818,0.022350110113620758,0.040502771735191345,0.6164163947105408,0.9997181296348572,0.04903962463140488,0.030763035640120506,0.0004280427237972617,,,,,,,
Child support,276479328780,post,0.9991784691810608,0.9595730304718018,0.9665370583534241,0.0009128306992352009,0.9994673728942871,0.6031724214553833,0.23039986193180084,0.009850326925516129,,,,,,,
Child support,276821393760,pre,0.9528024196624756,0.9231431484222412,0.20689404010772705,0.7796575427055359,0.9996309876441956,0.38191086053848267,0.9063531160354614,0.4489094018936157,,,,,,,
Child support,276821393760,post,0.6286354064941406,0.6768335700035095,0.20689402520656586,0.8451772332191467,0.43638184666633606,0.9423211812973022,0.5053709149360657,0.5234203338623047,,,,,,,
Child support,277792883064,pre,0.9998741745948792,0.5596510767936707,0.16451646387577057,0.773729681968689,0.8613050580024719,0.3988746404647827,0.6686639785766602,0.4368622601032257,,,,,,,
Child support,277792883064,post,0.9998008608818054,0.9612438082695007,0.9912633299827576,0.7323048114776611,0.9778226017951965,0.9304265975952148,0.11930549889802933,0.007793202996253967,,,,,,,
Child support,277902182844,pre,0.6015936136245728,0.5043944716453552,0.2716379761695862,0.8413048386573792,0.7045668959617615,0.7343100905418396,0.766643226146698,0.3326354920864105,,,,,,,
Child support,277948352160,pre,0.9066531658172607,0.9699850678443909,0.9100469946861267,0.8738621473312378,0.8282452821731567,0.9800530672073364,0.4004855751991272,0.00037409563083201647,,,,,,,
Child support,277948352160,post,0.5107405185699463,0.5214712023735046,0.3458781838417053,0.7004851698875427,0.20721471309661865,0.6746938228607178,0.7714993953704834,0.01218237541615963,,,,,,,
Child support,277955127180,pre,0.9488106369972229,0.9899476170539856,0.9966788291931152,0.7959754467010498,0.842863142490387,0.9745803475379944,0.48279869556427,0.13730095326900482,,,,,,,
Child support,277955127180,post,0.5477060079574585,0.8867150545120239,0.7921428680419922,0.4063907563686371,0.8833366632461548,0.15771976113319397,0.30187633633613586,0.03858828544616699,,,,,,,
Child support,277967714148,pre,0.756717324256897,0.5914873480796814,0.8171371221542358,0.674050509929657,0.9514137506484985,0.7496374845504761,0.17564409971237183,0.07718659937381744,,,,,,,
Child support,277967714148,post,0.724090576171875,0.9784464836120605,0.6469064354896545,0.745212972164154,0.9436079859733582,0.7154240012168884,0.7477080821990967,0.2845759987831116,,,,,,,
Child support,278016416316,pre,0.0010796068236231804,0.07744785398244858,0.0016388678923249245,0.16749082505702972,0.006890459917485714,0.8835315108299255,0.22917918860912323,0.8841894268989563,,,,,,,
Child support,278016416316,post,0.2752270996570587,0.215536430478096,0.0019154998008161783,0.8063956499099731,0.5273165702819824,0.9886079430580139,0.2471460998058319,0.7435406446456909,,,,,,,
Child support,278076262896,pre,0.9998528957366943,0.999347448348999,0.8955683708190918,0.679816722869873,0.9999197125434875,0.9975703358650208,0.9989758133888245,0.6099888682365417,,,,,,,
Child support,278076262896,post,0.9860442876815796,0.7408311367034912,0.0030337367206811905,0.0007931760046631098,0.18506188690662384,0.016689062118530273,0.001622967072762549,0.00048690568655729294,,,,,,,
Child support,278168810148,pre,0.007763055618852377,0.46368709206581116,0.030368773266673088,0.12226098030805588,0.22884511947631836,0.07273544371128082,0.05837267264723778,0.39326852560043335,,,,,,,
Child support,278168810148,post,0.28917092084884644,0.3678378164768219,0.09416624903678894,0.4144248068332672,0.3830641806125641,0.8060905337333679,0.32761451601982117,0.18742994964122772,,,,,,,
Child support,278441178948,pre,0.9956936836242676,0.8576191663742065,0.06581467390060425,0.8164063692092896,0.9975321888923645,0.014158729463815689,0.29934513568878174,0.00012100819731131196,,,,,,,
Child support,278441178948,post,0.29128316044807434,0.0005941797280684114,0.002385084517300129,0.0007480700151063502,0.9930828213691711,0.00014883847325108945,0.0004784255870617926,0.00011412237654440105,,,,,,,
Child support,278572228560,pre,0.047924671322107315,0.167286679148674,0.027193641290068626,0.49218812584877014,0.8910104632377625,0.25183165073394775,0.9743617177009583,0.4153730571269989,,,,,,,
Child support,278572228560,post,0.8053261637687683,0.1718936413526535,0.8564525246620178,0.36840569972991943,0.9998671412467957,0.3119506239891052,0.6227461695671082,0.0005872613401152194,,,,,,,
Child support,278622229644,pre,0.9992621541023254,0.9919224381446838,0.910186767578125,0.6584175229072571,0.6383845210075378,0.8853344321250916,0.8514594435691833,0.24725967645645142,,,,,,,
Child support,278622229644,post,0.3306872844696045,0.4946291148662567,0.35756751894950867,0.5936092734336853,0.42155182361602783,0.5180585384368896,0.479381799697876,0.058857645839452744,,,,,,,
Child support,278633794032,pre,0.9983738660812378,0.9833589196205139,0.7018153071403503,0.9833589792251587,0.9996659755706787,0.5682960152626038,0.9600252509117126,0.3720487654209137,,,,,,,
Child support,278633794032,post,0.6870003938674927,0.09974391013383865,0.007183844223618507,0.9986329674720764,0.9936856627464294,0.9975891709327698,0.9936610460281372,0.6575384140014648,,,,,,,
Child support,278659579464,post,0.36931508779525757,0.6749081611633301,0.4130035638809204,0.5515736937522888,0.4751182496547699,0.5380124449729919,0.8758400678634644,0.46733179688453674,,,,,,,
Child support,278660944728,pre,0.9997676610946655,0.32241931557655334,0.7109294533729553,0.05970173701643944,0.9995514750480652,0.015769395977258682,0.29205235838890076,0.0006499983137473464,,,,,,,
Child support,278660944728,post,0.9989350438117981,0.848846971988678,0.40474268794059753,0.23863890767097473,0.9410611391067505,0.19713513553142548,0.8495660424232483,0.08064661920070648,,,,,,,
Child support,278693504496,pre,0.001622967072762549,0.014323237352073193,0.001492425100877881,0.1695433408021927,0.029767142608761787,0.0684129148721695,0.7731307744979858,0.13240233063697815,,,,,,,
Child support,278693504496,post,0.004829721990972757,0.0602799728512764,0.0011313596041873097,0.07716921716928482,0.08993301540613174,0.005070175044238567,0.6993281841278076,0.12474516034126282,,,,,,,
Child support,278872026444,pre,0.8693822622299194,0.9914639592170715,0.849846601486206,0.6779006719589233,0.9991507530212402,0.8279673457145691,0.611382007598877,0.3065270483493805,,,,,,,
Child support,278872026444,post,0.9997351765632629,0.7013040781021118,0.7892336249351501,0.49145588278770447,0.9997310638427734,0.2962469160556793,0.922307550907135,0.18227991461753845,,,,,,,
Child support,278911290096,pre,0.003292235778644681,0.07396338135004044,0.0031695959623903036,0.7170118689537048,0.0069373962469398975,0.03552766516804695,0.039471887052059174,0.6688802242279053,,,,,,,
Child support,278911290096,post,0.8999596834182739,0.007080117706209421,0.028355207294225693,0.9892405271530151,0.8915280699729919,0.9514927268028259,0.9675331711769104,0.20641373097896576,,,,,,,
Child support,279013821696,pre,0.3747906982898712,0.05670464038848877,0.012734980322420597,0.7405498027801514,0.6361271142959595,0.3534281849861145,0.6506615281105042,0.007225755602121353,,,,,,,
Child support,279013821696,post,0.42548584938049316,0.11747085303068161,0.06875601410865784,0.0015129384119063616,0.9980505704879761,0.00042804278200492263,0.060696203261613846,0.0007613258203491569,,,,,,,
Child support,280442421360,pre,0.8943289518356323,0.5905430912971497,0.5616956949234009,0.8247444033622742,0.9606759548187256,0.9074352979660034,0.7950222492218018,0.1872812807559967,,,,,,,
Child support,280442421360,post,0.9980956315994263,0.9606021046638489,0.5491570830345154,0.14872592687606812,0.9482265114784241,0.015454242005944252,0.9417077898979187,0.0030219447799026966,,,,,,,
Child support,280499878728,pre,0.03487780690193176,0.24418272078037262,0.014828144572675228,0.2440025359392166,0.23370635509490967,0.2656899094581604,0.2841785252094269,0.3770817816257477,,,,,,,
Child support,280499878728,post,0.562176525592804,0.7354516983032227,0.3956010639667511,0.8206132054328918,0.2759094536304474,0.8801804780960083,0.7500038743019104,0.12391120940446854,,,,,,,
Child support,280752412212,pre,0.9986488819122314,0.3470943570137024,0.2664526700973511,0.9500183463096619,0.9823258519172668,0.8584814667701721,0.9975080490112305,0.6701766848564148,,,,,,,
Child support,280752412212,post,0.968366265296936,0.5048826336860657,0.002992665395140648,0.5708099007606506,0.9246196746826172,0.6951311230659485,0.8628724217414856,0.6099889278411865,,,,,,,
Child support,281166779412,post,0.0009888596832752228,0.13375429809093475,0.00030061634606681764,0.4007493555545807,0.139748215675354,0.16559311747550964,0.5936092734336853,0.5355842709541321,,,,,,,
Child support,281236409928,pre,0.5884161591529846,0.2735743820667267,0.6071974635124207,0.37433314323425293,0.7892337441444397,0.20930802822113037,0.27028757333755493,0.3319854736328125,,,,,,,
Child support,281236409928,post,0.99946528673172,0.33334043622016907,0.2433725893497467,0.9964825510978699,0.20946969091892242,0.864396333694458,0.5382551550865173,0.5999540090560913,,,,,,,
Child support,281257755516,post,0.7224045991897583,0.7910957932472229,0.0032922360114753246,0.9128643870353699,0.9716178774833679,0.6815678477287292,0.7020706534385681,0.9807472825050354,,,,,,,
Child support,281279369916,post,0.0407501719892025,0.2598256468772888,0.009661643765866756,0.6265813112258911,0.4163219630718231,0.4144247770309448,0.8748812079429626,0.6884683966636658,,,,,,,
Child support,281337505812,pre,0.9922106266021729,0.9963071346282959,0.5384978652000427,0.5794004201889038,0.999615490436554,0.8672608137130737,0.9571378231048584,0.1245320588350296,,,,,,,
Child support,281337505812,post,0.7972412705421448,0.83601975440979,0.5316957235336304,0.5014649033546448,0.6601724028587341,0.6584175229072571,0.9979251027107239,0.011558246798813343,,,,,,,
Child support,281345780160,post,0.6206216216087341,0.7424216866493225,0.7333563566207886,0.8572908639907837,0.6531268954277039,0.9791619777679443,0.9963499903678894,0.2816031277179718,,,,,,,
Child support,281408440032,post,0.9925681948661804,0.4765796959400177,0.42751622200012207,0.9513206481933594,0.6680145263671875,0.667147696018219,0.6253808736801147,0.41584742069244385,,,,,,,
Child support,281426425812,pre,0.316791832447052,0.9340952038764954,0.47877252101898193,0.7989721894264221,0.3652302324771881,0.37387579679489136,0.4250681698322296,0.6109178066253662,,,,,,,
Child support,281426425812,post,0.9992402195930481,0.9938787221908569,0.5763035416603088,0.06548521667718887,0.9687603116035461,0.4101654887199402,0.8754679560661316,0.0014465743442997336,,,,,,,
Child support,281433058560,pre,0.9955748319625854,0.11367794871330261,0.21950475871562958,0.7162185907363892,0.44263651967048645,0.9788141250610352,0.4411914050579071,0.7446563243865967,,,,,,,
Child support,281433058560,post,0.8800774812698364,0.9325148463249207,0.9238674640655518,0.19544047117233276,0.8492224812507629,0.4895034730434418,0.813423752784729,0.1355750560760498,,,,,,,
