model,topic,pid,wave,generic__Verantwortung,generic__Betroffenheit,generic__Moral,generic__Wirtschaftlichkeit,generic__Konflikt,issue__Finanzierung,issue__Buerokratie,issue__Armutsbekaempfung,issue__Bildungschancen,issue__Umsetzung,stance__pro,stance__ambivalent,stance__contra,issue__Regulierung,issue__Jugendschutz,issue__Gesundheit,issue__Kriminalitaet,issue__Freiheit
gbert,Child support,273726366948,post,0.9019610285758972,0.8661829829216003,0.7633688449859619,0.29453045129776,0.032743263989686966,0.8387464284896851,0.8219613432884216,0.7748084664344788,0.6852819919586182,0.20727752149105072,0.8499345779418945,0.11147424578666687,0.038591139018535614,,,,,
gbert,Child support,273908992896,post,0.7881913781166077,0.9609209895133972,0.7079275846481323,0.8172587752342224,0.9211257100105286,0.8337887525558472,0.39996740221977234,0.8613349795341492,0.8224855065345764,0.8417813181877136,0.28035247325897217,0.680439829826355,0.03920770436525345,,,,,
gbert,Child support,273971922264,pre,0.7573730945587158,0.9222841858863831,0.8258311152458191,0.5006265640258789,0.02129960060119629,0.3005377948284149,0.09721013158559799,0.8829779028892517,0.7630037665367126,0.03582620620727539,0.5705143213272095,0.4145123064517975,0.014973366633057594,,,,,
gbert,Child support,273971922264,post,0.6808164119720459,0.7456055879592896,0.3174245059490204,0.6860846281051636,0.5909659266471863,0.8311317563056946,0.25513821840286255,0.6931955218315125,0.4410799741744995,0.15222296118736267,0.7669044733047485,0.2075512856245041,0.025544263422489166,,,,,
gbert,Child support,273984233580,pre,0.8234348297119141,0.9022489190101624,0.6552679538726807,0.6958818435668945,0.6940776109695435,0.6399334073066711,0.729301393032074,0.4454634487628937,0.3858717978000641,0.196054607629776,0.060816023498773575,0.6846657395362854,0.2545182704925537,,,,,
gbert,Child support,273984233580,post,0.8545446991920471,0.824925422668457,0.7132807970046997,0.5606147050857544,0.84367835521698,0.7501031160354614,0.6406392455101013,0.7543210983276367,0.4493055045604706,0.34422174096107483,0.3757074773311615,0.4634641408920288,0.16082829236984253,,,,,
gbert,Child support,274024999980,pre,0.7529059648513794,0.7980433702468872,0.6364136934280396,0.7296229600906372,0.807121217250824,0.8233807682991028,0.2703428268432617,0.8967324495315552,0.8135074377059937,0.11737379431724548,0.5437358021736145,0.4382815659046173,0.01798262447118759,,,,,
gbert,Child support,274024999980,post,0.5294542908668518,0.8004190325737,0.46861228346824646,0.8750684261322021,0.8241840600967407,0.45858216285705566,0.8441510796546936,0.9754824042320251,0.6648075580596924,0.8156531453132629,0.5646288990974426,0.4211767315864563,0.014194400049746037,,,,,
gbert,Child support,274131498096,post,0.7688238024711609,0.8990514278411865,0.7297384142875671,0.7668598890304565,0.7980356216430664,0.31213685870170593,0.41724875569343567,0.9909945130348206,0.8039696216583252,0.602191686630249,0.5490763783454895,0.44056326150894165,0.010360395535826683,,,,,
gbert,Child support,274350928032,pre,0.5000526309013367,0.7253637313842773,0.8483041524887085,0.7868786454200745,0.5562195777893066,0.6366376876831055,0.7484914064407349,0.5435003042221069,0.49408429861068726,0.4872318506240845,0.39997410774230957,0.5550850033760071,0.04494086280465126,,,,,
