model,topic,pid,wave,generic__Moral,generic__Konflikt,generic__Betroffenheit,generic__Wirtschaftlichkeit,generic__Verantwortung,issue__Bildungschancen,issue__Armutsbekaempfung,issue__Buerokratie,issue__Umsetzung,issue__Finanzierung,stance__pro,stance__ambivalent,stance__contra,issue__Freiheit,issue__Gesundheit,issue__Jugendschutz,issue__Kriminalitaet,issue__Regulierung
mdeberta,Child support,273726366948,post,0.9953272938728333,0.8759728074073792,0.3260568082332611,0.260436475276947,0.00022124566021375358,0.9639160633087158,0.9507092833518982,0.7045668363571167,0.0134153226390481,0.0008830457809381187,0.8497976660728455,0.14024101197719574,0.009961316362023354,,,,,
mdeberta,Child support,273908992896,post,0.9875803589820862,0.9996132850646973,0.9997316002845764,0.998221218585968,0.007496886886656284,0.9958174228668213,0.17569713294506073,0.932489812374115,0.9505947828292847,0.9269572496414185,0.003977648448199034,0.9752013087272644,0.020821042358875275,,,,,
mdeberta,Child support,273971922264,pre,0.9907229542732239,0.11023145914077759,0.5654786825180054,0.024703869596123695,0.000689194945152849,0.996593713760376,0.004248079378157854,0.06427068263292313,0.08366550505161285,0.005271082744002342,0.7676569223403931,0.18131351470947266,0.05102957785129547,,,,,
mdeberta,Child support,273971922264,post,0.9519972801208496,0.9750121831893921,0.9597808718681335,0.9765577912330627,0.00041326196515001357,0.9842637181282043,0.9757103323936462,0.7331653833389282,0.6258955597877502,0.7694268822669983,0.5467334985733032,0.3121664822101593,0.14110004901885986,,,,,
mdeberta,Child support,273984233580,pre,0.8007699251174927,0.9848291873931885,0.6806132793426514,0.8823264837265015,0.9782655835151672,0.9537081122398376,0.9393038153648376,0.6085940599441528,0.2867680788040161,0.8862236142158508,0.10353156179189682,0.45479968190193176,0.4416687786579132,,,,,
mdeberta,Child support,273984233580,post,0.9620184302330017,0.9684082865715027,0.9398720264434814,0.6353356242179871,0.0010649627074599266,0.8713107109069824,0.9099195599555969,0.49560558795928955,0.24816958606243134,0.2965523898601532,0.16249755024909973,0.5155973434448242,0.32190510630607605,,,,,
mdeberta,Child support,274024999980,pre,0.9806549549102783,0.9682313799858093,0.9230479001998901,0.9790757894515991,0.0018458481645211577,0.9998103976249695,0.9563726186752319,0.8981540203094482,0.33171480894088745,0.3132096529006958,0.08291669934988022,0.898868978023529,0.018214382231235504,,,,,
mdeberta,Child support,274024999980,post,0.9889917969703674,0.9618575572967529,0.9737446904182434,0.9452227354049683,0.007417380344122648,0.9967900514602661,0.9899086952209473,0.8486588597297668,0.7588681578636169,0.18535663187503815,0.47109460830688477,0.5173962116241455,0.011509179137647152,,,,,
mdeberta,Child support,274131498096,post,0.9467999935150146,0.9060105681419373,0.9708678126335144,0.5777336359024048,0.03879259154200554,0.9958660006523132,0.7917405962944031,0.7327831387519836,0.8050197958946228,0.14940723776817322,0.1014350950717926,0.6938603520393372,0.20470453798770905,,,,,
mdeberta,Child support,274350928032,pre,0.9458637833595276,0.9795310497283936,0.9632823467254639,0.8005360960960388,0.0017007223796099424,0.9488580822944641,0.8691047430038452,0.8526290059089661,0.7813306450843811,0.23213604092597961,0.22579479217529297,0.6088488101959229,0.16535641252994537,,,,,
mdeberta,Child support,274350928032,post,0.9323301911354065,0.8168085813522339,0.8308345079421997,0.4265604615211487,0.0007808886002749205,0.8782098293304443,0.7181992530822754,0.5947866439819336,0.0028839590959250927,0.3089194595813751,0.2439407855272293,0.6912000775337219,0.06485918164253235,,,,,
mdeberta,Child support,274397163696,pre,0.7880128026008606,0.9987910389900208,0.9898695945739746,0.6138733625411987,0.015291642397642136,0.9059937000274658,0.30881521105766296,0.7504613399505615,0.4775541424751282,0.26303109526634216,0.04155776649713516,0.5346047878265381,0.42383745312690735,,,,,
mdeberta,Child support,274502024316,pre,0.9942082166671753,0.3029579222202301,0.9707987308502197,0.9676862359046936,0.001204238273203373,0.9996353387832642,0.05915587395429611,0.9137054085731506,0.8495191931724548,0.14336751401424408,0.952147901058197,0.04300465062260628,0.0048474217765033245,,,,,
mdeberta,Child support,274502024316,post,0.9229350686073303,0.8725375533103943,0.9941118359565735,0.8331634402275085,0.001619805465452373,0.9973321557044983,0.45350387692451477,0.9421425461769104,0.916857123374939,0.3380771279335022,0.5026724338531494,0.23983435332775116,0.2574932277202606,,,,,
mdeberta,Child support,274518574380,pre,0.9978718757629395,0.993384599685669,0.9994916915893555,0.9823046922683716,0.0013939503114670515,0.9999151825904846,0.10608711838722229,0.9162830114364624,0.9104658365249634,0.054223764687776566,0.5465188026428223,0.40972357988357544,0.043757643550634384,,,,,
mdeberta,Child support,274518574380,post,0.8740234971046448,0.880832314491272,0.802710235118866,0.19574777781963348,0.015130729414522648,0.20252203941345215,0.03572898358106613,0.1527891606092453,0.4958496689796448,0.14620910584926605,0.287224143743515,0.5771007537841797,0.1356750875711441,,,,,
mdeberta,Child support,274526852832,pre,0.975095272064209,0.8564224243164062,0.8762642741203308,0.5872331857681274,0.00032950876629911363,0.8844391107559204,0.9416407346725464,0.5976078510284424,0.6755505800247192,0.4016878008842468,0.4231646656990051,0.48344624042510986,0.09338913857936859,,,,,
mdeberta,Child support,274526852832,post,0.9951890110969543,0.988073468208313,0.9745681881904602,0.9650697708129883,0.00021194232976995409,0.9745925068855286,0.9846106171607971,0.7794896960258484,0.88373863697052,0.78116375207901,0.6984097361564636,0.2742617726325989,0.02732851542532444,,,,,
mdeberta,Child support,274533484212,pre,0.9687528610229492,0.9055731296539307,0.992251992225647,0.4000459909439087,0.0003059457230847329,0.9968702793121338,0.6669307947158813,0.4693986475467682,0.22033196687698364,0.15586382150650024,0.5786027312278748,0.349540114402771,0.0718570426106453,,,,,
mdeberta,Child support,274533484212,post,0.9746890068054199,0.8513050079345703,0.9683699607849121,0.6410853862762451,0.0003951153776142746,0.9583140015602112,0.9294083118438721,0.8489722013473511,0.3868792653083801,0.18862271308898926,0.28552496433258057,0.5425592064857483,0.17191587388515472,,,,,
mdeberta,Child support,274653049464,pre,0.7875638604164124,0.948076069355011,0.9105055928230286,0.7902067303657532,0.00214894930832088,0.8342719078063965,0.6164741516113281,0.8822250962257385,0.9723622798919678,0.3261640965938568,0.14205440878868103,0.6994724273681641,0.1584731489419937,,,,,
mdeberta,Child support,274653049464,post,0.5786862969398499,0.9950321912765503,0.6851599812507629,0.5746334791183472,0.005070175044238567,0.9767379760742188,0.8024007678031921,0.766643226146698,0.9784052968025208,0.5674572587013245,0.10036601126194,0.5049014091491699,0.3947325348854065,,,,,
mdeberta,Child support,274671650160,pre,0.980820894241333,0.7328308820724487,0.938322126865387,0.3342633843421936,0.0023231625091284513,0.9619794487953186,0.9808301329612732,0.52220219373703,0.20295611023902893,0.07255452126264572,0.7219731211662292,0.26951831579208374,0.008508536033332348,,,,,
mdeberta,Child support,274671650160,post,0.9882675409317017,0.6066440939903259,0.9819446802139282,0.27656838297843933,0.004117917735129595,0.9956133961677551,0.9934802055358887,0.554229199886322,0.030329257249832153,0.030286207795143127,0.9781812429428101,0.017898526042699814,0.003920282237231731,,,,,
mdeberta,Child support,274758455232,post,0.7132319211959839,0.019428648054599762,0.7414868474006653,0.7910150289535522,0.0038319318555295467,0.9673138856887817,0.3019792139530182,0.7795736789703369,0.40239208936691284,0.640186071395874,0.4285057485103607,0.5255292057991028,0.04596509784460068,,,,,
mdeberta,Child support,274788345348,post,0.9275275468826294,0.8661183714866638,0.9696994423866272,0.053280044347047806,0.0006918905419297516,0.9978739619255066,0.5739172101020813,0.04236419498920441,0.045099567621946335,0.03004336915910244,0.4846890866756439,0.46312206983566284,0.05218890681862831,,,,,
mdeberta,Child support,274880751012,pre,0.4632014036178589,0.0031850608065724373,0.04027567058801651,0.24103128910064697,8.836162305669859e-05,0.9733802080154419,0.9973112940788269,0.022158868610858917,0.011018822900950909,0.023655617609620094,0.5120730400085449,0.4234883189201355,0.06443863362073898,,,,,
mdeberta,Child support,274880751012,post,0.6774740219116211,0.14217232167720795,0.41834044456481934,0.24598954617977142,0.0008279718458652496,0.9335293173789978,0.9983353614807129,0.10029330849647522,0.040171992033720016,0.33829569816589355,0.21784457564353943,0.7301087379455566,0.05204669386148453,,,,,
mdeberta,Child support,274948399980,pre,0.9929609298706055,0.9689003825187683,0.9841698408126831,0.4863315522670746,0.0019839033484458923,0.9965603947639465,0.8559414744377136,0.8910549879074097,0.8043290972709656,0.025298967957496643,0.8495267629623413,0.11070152372121811,0.03977171331644058,,,,,
mdeberta,Child support,274948399980,post,0.9958820939064026,0.9314936399459839,0.966945230960846,0.0698900818824768,0.003356951754540205,0.9997448325157166,0.011519263498485088,0.0854799821972847,0.11731907725334167,0.006015262566506863,0.5260210037231445,0.4673960506916046,0.006582941394299269,,,,,
mdeberta,Child support,275780146716,post,0.9270151257514954,0.9947748184204102,0.9845532178878784,0.8495972156524658,0.0010965896071866155,0.947502613067627,0.12100894749164581,0.774071455001831,0.8276193141937256,0.5389832258224487,0.023686189204454422,0.6781607270240784,0.2981530725955963,,,,,
mdeberta,Child support,275794438896,pre,0.9743250608444214,0.9501340985298157,0.9960469007492065,0.9828232526779175,0.005934067070484161,0.9997310638427734,0.23739908635616302,0.8563324213027954,0.7526153326034546,0.9195793867111206,0.07216422259807587,0.7002274990081787,0.22760824859142303,,,,,
mdeberta,Child support,275794438896,post,0.9713473320007324,0.8945075869560242,0.9503879547119141,0.9355234503746033,0.09041372686624527,0.9981684684753418,0.9947697520256042,0.8964895606040955,0.9177460670471191,0.9615699052810669,0.07044019550085068,0.43472355604171753,0.4948362708091736,,,,,
mdeberta,Child support,275865368328,post,0.9844862222671509,0.987289547920227,0.9122799634933472,0.6379335522651672,0.001758038648404181,0.989976704120636,0.8410438895225525,0.6013594269752502,0.5590493083000183,0.5428632497787476,0.14029960334300995,0.5924164652824402,0.26728391647338867,,,,,
mdeberta,Child support,275910784560,pre,0.3699977397918701,0.3322562575340271,0.11377638578414917,0.7980294227600098,0.015174446627497673,0.9964203238487244,0.8759329915046692,0.1170160248875618,0.17820382118225098,0.019475216045975685,0.5168320536613464,0.3906971514225006,0.09247078001499176,,,,,
mdeberta,Child support,275910784560,post,0.7602059245109558,0.23988313972949982,0.47438767552375793,0.8621196746826172,0.0018350845202803612,0.9897612929344177,0.6943026185035706,0.48651450872421265,0.5867596864700317,0.012088717892765999,0.4577791094779968,0.45399489998817444,0.0882260650396347,,,,,
